addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,addr:country,network:phone,opening_hours,network,network:website,Latitude,Longitude,check_date,ref:afdc,start_date,socket:type1_combo,socket:type1_combo:output,socket:chademo,socket:chademo:output,socket:nacs,socket:nacs:output,man_made,frequency,access,amenity
575,Currant Road,Fall River,MA,02720,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,41.741375,-71.108166,2025-06-29,400568,2025-06-24,1,62,1,62,,,charge_point,0,yes,
575,Currant Road,Fall River,MA,02720,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,41.741343,-71.108091,2025-06-29,400569,2025-06-24,1,62,1,62,,,charge_point,0,yes,
14851,Lyons Road,Delray Beach,FL,33446,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,26.455812,-80.191125,2025-06-29,400599,2025-06-24,1,400,,,,,charge_point,0,yes,
14851,Lyons Road,Delray Beach,FL,33446,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,26.455812,-80.191125,2025-06-29,400599,2025-06-24,1,400,,,,,charge_point,0,yes,
14851,Lyons Road,Delray Beach,FL,33446,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,26.455803,-80.191062,2025-06-29,400600,2025-06-24,1,400,,,,,charge_point,0,yes,
14851,Lyons Road,Delray Beach,FL,33446,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,26.455803,-80.191062,2025-06-29,400600,2025-06-24,1,400,,,,,charge_point,0,yes,
14851,Lyons Road,Delray Beach,FL,33446,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,26.455804,-80.190771,2025-06-29,400601,2025-06-24,1,400,,,,,charge_point,0,yes,
14851,Lyons Road,Delray Beach,FL,33446,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,26.455804,-80.190771,2025-06-29,400601,2025-06-24,1,400,,,,,charge_point,0,yes,
14851,Lyons Road,Delray Beach,FL,33446,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,26.455803,-80.190968,2025-06-29,400603,2025-06-24,1,400,,,,,charge_point,0,yes,
14851,Lyons Road,Delray Beach,FL,33446,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,26.455803,-80.190968,2025-06-29,400603,2025-06-24,1,400,,,,,charge_point,0,yes,
4080,East Freeway,Baytown,TX,77521,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,29.801246,-95.000327,2025-06-29,400662,2025-06-25,1,400,,,,,charge_point,0,yes,
2712,Neil Armstrong Parkway,Hampton,VA,23666,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,37.06339,-76.39857,2025-06-29,400663,2025-06-25,1,62,1,62,,,charge_point,0,yes,
2712,Neil Armstrong Parkway,Hampton,VA,23666,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,37.062946,-76.39847,2025-06-29,400664,2025-06-25,1,62,1,62,,,charge_point,0,yes,
1400,Columbus Parkway,Opelika,AL,36804,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,32.643738,-85.34751,2025-06-29,404625,2025-06-27,1,80,,,1,80,charge_point,0,yes,
1400,Columbus Parkway,Opelika,AL,36804,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,32.643761,-85.347524,2025-06-29,404626,2025-06-27,1,80,,,1,80,charge_point,0,yes,
1400,Columbus Parkway,Opelika,AL,36804,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,32.64379,-85.347504,2025-06-29,404627,2025-06-27,1,80,,,1,80,charge_point,0,yes,
1400,Columbus Parkway,Opelika,AL,36804,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,32.643833,-85.347494,2025-06-29,404628,2025-06-27,1,80,1,80,,,charge_point,0,yes,
4080,East Freeway,Baytown,TX,77521,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,29.801245,-95.00029,2025-06-29,404636,2025-06-27,1,400,,,,,charge_point,0,yes,
4080,East Freeway,Baytown,TX,77521,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,29.801245,-95.00029,2025-06-29,404636,2025-06-27,,,,,1,400,charge_point,0,yes,
4080,East Freeway,Baytown,TX,77521,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,29.801272,-95.000108,2025-06-29,404637,2025-06-27,1,400,,,,,charge_point,0,yes,
4080,East Freeway,Baytown,TX,77521,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,29.801272,-95.000108,2025-06-29,404637,2025-06-27,,,,,1,400,charge_point,0,yes,
4080,East Freeway,Baytown,TX,77521,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,29.801277,-95.000066,2025-06-29,404638,2025-06-27,1,400,,,,,charge_point,0,yes,
