addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,addr:country,network:phone,opening_hours,network,network:website,Latitude,Longitude,check_date,ref:afdc,start_date,socket:type1_combo,socket:type1_combo:output,socket:chademo,socket:chademo:output,socket:nacs,socket:nacs:output,man_made,frequency,access,amenity
611,Brevard Road,Asheville,NC,28806,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,35.549866,-82.601676,2025-07-11,405781,2025-07-10,1,120,,,,,charge_point,0,yes,
611,Brevard Road,Asheville,NC,28806,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,35.549866,-82.601676,2025-07-11,405781,2025-07-10,1,120,,,,,charge_point,0,yes,
611,Brevard Road,Asheville,NC,28806,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,35.549863,-82.601785,2025-07-11,405783,2025-07-10,1,120,,,,,charge_point,0,yes,
611,Brevard Road,Asheville,NC,28806,US,+1-888-758-4389,24/7,ChargePoint,https://www.chargepoint.com,35.549863,-82.601785,2025-07-11,405783,2025-07-10,1,120,,,,,charge_point,0,yes,
1001,North Dupont Highway,Dover,DE,19901,US,+1-833-632-2778,24/7,Electrify America,https://www.electrifyamerica.com,39.187,-75.53479,2025-07-11,405671,2025-07-08,6,350,,,,,,,,charging_station
1216,East Palestine Avenue,Palestine,TX,75801,US,+1-866-816-7584,24/7,EV Connect,https://www.evconnect.com,31.776,-95.618482,2025-07-11,405725,2025-07-09,1,50,,,,,,,,charging_station
1700,Oak Street,Canton,MO,63435,US,+1-888-222-6618,24/7,NOODOE,https://www.noodoe.com,40.12362,-91.538828,2025-07-11,405531,2025-07-07,1,75,,,1,75,,,,charging_station
180,A Cambridge Street,Burlington,MA,01803,US,+1-877-455-3833,24/7,EVgo,https://www.evgo.com,42.510476,-71.197697,2025-07-12,416069,2025-07-12,6,100;350,,,,,,,,charging_station
1900,Ikea Way,Columbus,OH,43240,US,+1-833-632-2778,24/7,Electrify America,https://www.electrifyamerica.com,40.1498,-82.96557,2025-07-11,405897,2025-07-11,6,350,,,,,,,,charging_station
2000,Coastal Grand Cir,Myrtle Beach,SC,29577,US,+1-833-632-2778,24/7,Electrify America,https://www.electrifyamerica.com,33.70469,-78.92472,2025-07-11,405672,2025-07-08,6,350,,,,,,,,charging_station
2000,Waters Road,Ann Arbor,MI,48103,US,+1-833-632-2778,24/7,Electrify America,https://www.electrifyamerica.com,42.2436,-83.7682,2025-07-11,405811,2025-07-10,8,350,,,,,,,,charging_station
