addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,addr:country,brand,brand:website,brand:phone,opening_hours,motorcar,access,frequency,Latitude,Longitude,ref:afdc,start_date,check_date,socket:type1,socket:type1:output,socket:type1_combo,socket:type1_combo:output,socket:chademo,socket:chademo:output,socket:nacs,socket:nacs:output,amenity
4490,Weston Road,Davie,FL,33331,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,26.063974,-80.361562,301735,2023-04-05,2025-05-12,,,4,90,4,90,,,charging_station
901,West Sample Road,Deerfield Beach,FL,33064,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,26.275548,-80.136164,302931,2023-06-30,2025-05-12,,,3,90,1,90,,,charging_station
850,Gateway Boulevard,Boynton Beach,FL,33426,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,26.55018,-80.0735,312232,2023-09-29,2025-05-12,,,1,180,1,90,,,charging_station
3167,Northlake Boulevard,Palm Beach Gardens,FL,33403,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,26.80889,-80.08423,361832,2024-09-24,2025-06-06,,,2,180,,,,,charging_station
3167,Northlake Boulevard,Palm Beach Gardens,FL,33403,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,26.8089,-80.08421,367606,2024-09-24,2025-06-06,,,2,180,2,90,,,charging_station
26920,Jones Loop Road,Punta Gorda,FL,33982,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,26.89558,-81.99605,323705,2023-12-11,2025-05-12,,,3,180,1,90,,,charging_station
8100,Southwest Jack James Drive,Stuart,FL,34997,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,27.105617,-80.26308,302930,2023-06-28,2025-05-12,,,3,90,1,90,,,charging_station
5745,Clark Road,Sarasota,FL,34233,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,27.26989,-82.454503,185209,2022-07-08,2025-05-12,,,3,180,1,90,,,charging_station
5301,34th Street South,St. Petersburg,FL,33711,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,27.719801,-82.679797,185216,2023-01-01,2025-07-03,,,3,180,1,90,,,charging_station
3603,South Falkenburg Road,Riverview,FL,33578,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,27.91605,-82.3475,397529,2025-05-27,2025-06-06,,,3,180,1,90,,,charging_station
12902,Newsome Road,Dover,FL,74133,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,28.02193,-82.2439,307906,2023-08-18,2025-05-12,,,3,180,1,90,,,charging_station
5102,Pointe Of Tampa Way,Tampa,FL,33647,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,28.1185,-82.37872,259976,2022-12-08,2025-05-12,,,3,180,1,90,,,charging_station
4520,West Eau Gallie Boulevard,Melbourne,FL,32934,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,28.12108,-80.700637,185198,2022-07-01,2023-07-11,,,3,180,1,90,,,charging_station
1730,Celebration Boulevard,Celebration,FL,34747,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,28.30303,-81.56513,390106,2001-08-21,2025-05-12,,,3,180,1,90,,,charging_station
4900,West State Road 46,Sanford,FL,32771,US,7Charge,https://www.7-eleven.com/7charge,,24/7,designated,yes,0,28.8118,-81.34212,323708,2023-12-29,2025-05-12,,,3,180,1,90,,,charging_station
2100,Lpga Boulevard,Daytona Beach,FL,32117,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,29.22437,-81.09454,312231,2023-09-28,2025-05-12,,,3,180,1,90,,,charging_station
8535,Fm 1960 Business Bypass Road,Humble,TX,77338,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,30.00162,-95.2965,297173,2023-06-23,2025-05-12,,,2,90,2,90,,,charging_station
6149,Mcpherson Boulevard,Fort Worth,TX,76123,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,32.60643,-97.41783,259975,2022-08-17,2025-07-03,,,3,180,1,90,,,charging_station
7480,North State Highway 161,Irving,TX,75039,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,32.90695,-96.952944,390200,2024-10-22,2025-05-12,,,3,180,1,90,,,charging_station
13635,Preston Road,Dallas,TX,75240,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,32.93324,-96.80428,259974,2022-06-08,2025-05-12,,,3,180,1,90,,,charging_station
602,East Anaheim Street,Long Beach,CA,90813,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,33.78207,-118.18474,259970,2022-06-29,2025-05-12,,,1,180,1,90,,,charging_station
13110,Lakewood Boulevard,Bellflower,CA,90706,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,33.91005,-118.14231,390197,2025-03-06,2025-05-12,,,3,180,1,90,,,charging_station
12578,Schleismann Road,Eastvale,CA,92880,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,33.95757,-117.55772,397530,2025-05-21,2025-06-06,,,3,180,1,90,,,charging_station
105,North Vincent Avenue,Covina,CA,91722,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,34.08689,-117.92584,306207,2023-07-19,2025-06-06,,,3,180,1,90,,,charging_station
1808,North Broadway,Santa Maria,CA,93454,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,34.97245,-120.43505,329859,2024-02-24,2025-05-12,,,3,180,1,90,,,charging_station
1595,Branham Lane,San Jose,CA,95118,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,37.25375,-121.902551,302932,2023-06-16,2025-05-12,,,3,180,1,90,,,charging_station
690,Ygnacio Valley Road,Walnut Creek,CA,94596,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,37.90694,-122.05939,323706,2023-12-19,2025-06-06,,,3,180,1,90,,,charging_station
490,Devlin Road,Napa,CA,94558,US,7Charge,https://www.7-eleven.com/7charge,+1 844-711-2474,24/7,designated,yes,0,38.22255,-122.26194,323703,2023-11-30,2025-06-06,,,1,180,1,90,,,charging_station
